0,0,0,0,0,0,0,0,0,0,0,0,0,0|0|8.929236
0,0,0,0,0,0,0,0,0,0,0,0,0,0|1|9.159313
0,0,0,0,0,0,0,0,0,0,0,0,0,0|3|0.604356
0,0,0,0,0,0,0,0,0,0,0,0,0,0|4|1.878871
0,0,0,0,0,0,0,0,0,0,0,0,0,0|2|10.97625
0,0,0,0,0,0,0,0,1,0,0,-1,0,0|0|4.083195
0,0,0,0,0,0,0,0,1,0,0,-1,0,0|3|-0.130449
0,0,0,0,0,0,0,0,1,0,0,-1,0,0|1|3.977988
0,0,0,0,0,0,0,0,1,0,0,-1,0,0|4|0.2811592
0,0,0,0,0,0,0,0,1,0,0,-1,0,0|2|9.112705
0,0,0,0,0,0,0,0,1,1,0,-1,-1,0|0|0.663205
0,0,0,0,0,0,0,0,1,1,0,-1,-1,0|3|-0.4410261
0,0,0,0,0,0,0,0,1,1,0,-1,-1,0|2|7.673663
0,0,0,0,0,0,0,0,0,1,1,0,-1,-1|3|-0.5347085
0,0,0,0,0,0,0,0,0,1,1,0,-1,-1|0|0.1868168
0,0,0,0,0,0,0,0,0,1,1,0,-1,-1|1|0.1597527
0,0,0,0,0,0,0,0,0,1,1,0,-1,-1|2|6.007307
0,0,0,0,0,0,0,0,1,0,1,-1,0,-1|0|0.08109514
0,0,0,0,0,0,0,0,1,0,1,-1,0,-1|4|-0.4112764
0,0,0,0,0,0,0,0,1,0,1,-1,0,-1|1|0.3218823
0,0,0,0,0,0,0,0,1,0,1,-1,0,-1|3|-0.6178707
0,0,0,0,0,0,0,1,1,0,1,-1,0,-1|0|0
0,0,0,0,0,0,0,1,1,0,1,-1,0,-1|3|-3.09
0,0,0,0,0,0,0,0,1,0,0,1,0,0|0|3.874446
0,0,0,0,0,0,0,0,1,0,0,1,0,0|1|3.639544
0,0,0,0,0,0,0,0,1,0,0,1,0,0|4|-0.4440385
0,0,0,0,0,0,0,0,1,0,0,1,0,0|3|0.3096521
0,0,0,0,0,0,0,0,1,0,0,1,0,0|2|7.708857
0,0,0,0,0,0,0,0,1,1,0,1,1,0|0|0.793169
1,0,0,1,0,0,0,0,1,1,0,1,1,0|4|-0.2291517
1,0,0,1,0,0,0,0,1,1,0,1,1,0|0|-0.03
1,1,0,1,0,0,0,0,1,1,0,1,1,0|0|-3
1,0,0,0,0,0,0,0,0,0,0,0,0,0|3|-0.1586341
1,0,0,0,0,0,0,0,0,0,0,0,0,0|0|0.6858662
0,1,0,0,0,0,0,0,0,0,0,0,0,0|0|1.360886
0,0,1,0,0,0,0,0,0,0,0,0,0,0|0|0.05740114
1,1,1,0,0,0,0,0,2,0,0,-1,0,0|0|1.920841
1,1,1,0,0,0,0,0,2,0,0,-1,0,0|3|1.132152
1,1,1,0,0,0,0,0,2,0,0,-1,0,0|4|-6.299083
1,1,1,0,0,0,0,0,2,0,0,-1,0,0|1|1.92312
0,0,1,0,0,0,0,0,0,0,0,0,0,0|4|-2.143131
1,1,0,0,0,0,0,0,2,0,0,-1,0,0|0|0.2643976
1,1,0,0,0,0,0,0,2,0,0,-1,0,0|1|6.398362
1,0,0,0,0,0,0,0,2,0,0,-1,0,0|0|0.6614038
1,0,0,0,0,0,0,0,2,0,0,-1,0,0|4|-0.9785687
1,0,1,0,0,0,0,0,2,0,0,-1,0,0|0|0.0007
1,0,1,0,0,0,0,0,2,0,0,-1,0,0|3|-0.1482425
1,0,0,0,0,0,0,0,2,0,0,-1,0,0|1|0.4875373
0,0,1,0,1,0,0,0,2,0,0,-1,0,0|0|0.02556326
0,0,0,0,0,0,0,0,2,0,0,-1,0,0|0|4.075075
1,0,0,0,0,0,0,0,2,0,0,-1,0,0|3|-0.158935
0,1,1,0,0,0,0,0,2,0,0,-1,0,0|1|0.2659338
1,1,0,0,1,0,0,0,2,0,0,-1,0,0|0|0.2306419
0,1,1,0,0,0,0,0,2,0,0,-1,0,0|0|0.0278708
1,1,0,0,0,0,0,0,2,0,0,-1,0,0|4|-2.018157
0,0,1,0,0,0,0,0,2,0,0,-1,0,0|0|0.917255
1,0,1,0,0,0,0,0,2,0,0,-1,0,0|4|-0.3111167
0,0,0,0,0,0,0,0,2,0,0,-1,0,0|1|0.29775
1,0,1,0,0,0,0,0,2,0,0,-1,0,0|1|8.821231E-08
0,1,1,0,0,0,0,0,2,0,0,-1,0,0|4|-0.1579351
0,1,0,0,0,0,0,0,2,0,0,-1,0,0|0|0.01321382
1,0,1,0,0,0,0,0,2,0,0,-1,0,0|2|0.9401177
1,1,1,1,1,0,0,0,1,2,0,-1,-1,0|0|-0.0009
1,1,0,1,1,0,0,0,1,2,0,-1,-1,0|0|-3
1,1,1,0,0,0,0,0,2,0,0,1,0,0|4|-7.517676
